loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
5.8600732421875,2.3055384159088135,1.993386110832749e-05,0.01002104419280489,100,,,,,,,,,
4.990574035644531,1.741542100906372,1.9867054147042123e-05,0.02004208838560978,200,,,,,,,,,
4.679819641113281,1.9039417505264282,1.9800247185756757e-05,0.03006313257841467,300,,,,,,,,,
4.645244750976563,2.2585926055908203,1.973344022447139e-05,0.04008417677121956,400,,,,,,,,,
4.712066040039063,1.961137294769287,1.9666633263186024e-05,0.05010522096402445,500,,,,,,,,,
,,,0.05010522096402445,500,1.033964991569519,12.2121,196.69,24.648,,,,,
4.492870483398438,1.4824987649917603,1.9599826301900658e-05,0.06012626515682934,600,,,,,,,,,
4.307485656738281,1.9402233362197876,1.9533019340615292e-05,0.07014730934963423,700,,,,,,,,,
4.481069030761719,1.8781673908233643,1.946621237932993e-05,0.08016835354243912,800,,,,,,,,,
4.444403076171875,1.6608291864395142,1.9399405418044562e-05,0.09018939773524401,900,,,,,,,,,
4.286495056152344,1.7541661262512207,1.9332598456759196e-05,0.1002104419280489,1000,,,,,,,,,
,,,0.1002104419280489,1000,0.974972128868103,12.1587,197.554,24.756,,,,,
4.330298156738281,1.6624631881713867,1.926579149547383e-05,0.11023148612085379,1100,,,,,,,,,
4.2338629150390625,1.4968476295471191,1.9198984534188463e-05,0.12025253031365868,1200,,,,,,,,,
4.335186462402344,2.0048279762268066,1.91321775729031e-05,0.13027357450646357,1300,,,,,,,,,
4.331933898925781,1.4892596006393433,1.9065370611617734e-05,0.14029461869926846,1400,,,,,,,,,
4.112447509765625,1.9510310888290405,1.8998563650332368e-05,0.15031566289207335,1500,,,,,,,,,
,,,0.15031566289207335,1500,0.9396733641624451,11.9444,201.098,25.2,,,,,
4.271840209960938,1.7060052156448364,1.8931756689047e-05,0.16033670708487824,1600,,,,,,,,,
4.123603515625,2.186418294906616,1.8864949727761635e-05,0.17035775127768313,1700,,,,,,,,,
4.177183837890625,1.1657193899154663,1.879814276647627e-05,0.18037879547048802,1800,,,,,,,,,
4.067771301269532,1.5959950685501099,1.8731335805190902e-05,0.1903998396632929,1900,,,,,,,,,
4.144258728027344,1.5342837572097778,1.8664528843905536e-05,0.2004208838560978,2000,,,,,,,,,
,,,0.2004208838560978,2000,0.9121776819229126,12.1343,197.952,24.806,,,,,
4.046710205078125,1.610175609588623,1.859772188262017e-05,0.2104419280489027,2100,,,,,,,,,
3.9655718994140625,1.2210766077041626,1.8530914921334803e-05,0.22046297224170758,2200,,,,,,,,,
4.035664672851563,1.5284327268600464,1.8464107960049437e-05,0.23048401643451247,2300,,,,,,,,,
3.9281121826171876,1.6397336721420288,1.8397300998764074e-05,0.24050506062731736,2400,,,,,,,,,
3.8887872314453125,1.2735369205474854,1.8330494037478708e-05,0.2505261048201223,2500,,,,,,,,,
,,,0.2505261048201223,2500,0.8908536434173584,12.1384,197.884,24.797,,,,,
4.00253173828125,1.7700555324554443,1.826368707619334e-05,0.26054714901292714,2600,,,,,,,,,
3.889759216308594,1.773007869720459,1.8196880114907975e-05,0.27056819320573205,2700,,,,,,,,,
3.8882266235351564,2.0162570476531982,1.813007315362261e-05,0.2805892373985369,2800,,,,,,,,,
3.8272515869140626,1.8751425743103027,1.8063266192337242e-05,0.29061028159134183,2900,,,,,,,,,
3.84362548828125,1.597362995147705,1.7996459231051876e-05,0.3006313257841467,3000,,,,,,,,,
,,,0.3006313257841467,3000,0.8680707812309265,11.9783,200.53,25.129,,,,,
3.908865966796875,1.3986883163452148,1.792965226976651e-05,0.3106523699769516,3100,,,,,,,,,
3.697093811035156,1.4449132680892944,1.7862845308481143e-05,0.3206734141697565,3200,,,,,,,,,
3.8272357177734375,1.585682988166809,1.7796038347195777e-05,0.3306944583625614,3300,,,,,,,,,
3.8677716064453125,1.482810616493225,1.7729231385910414e-05,0.34071550255536626,3400,,,,,,,,,
3.766278076171875,1.5008198022842407,1.7662424424625048e-05,0.3507365467481712,3500,,,,,,,,,
,,,0.3507365467481712,3500,0.8564513921737671,12.1897,197.052,24.693,,,,,
3.7616476440429687,1.6072907447814941,1.759561746333968e-05,0.36075759094097604,3600,,,,,,,,,
3.7851849365234376,1.4641534090042114,1.7528810502054315e-05,0.37077863513378095,3700,,,,,,,,,
3.8603640747070314,1.664625644683838,1.746200354076895e-05,0.3807996793265858,3800,,,,,,,,,
3.970616760253906,1.5198900699615479,1.7395196579483586e-05,0.39082072351939073,3900,,,,,,,,,
3.6651214599609374,1.225237488746643,1.732838961819822e-05,0.4008417677121956,4000,,,,,,,,,
,,,0.4008417677121956,4000,0.8444116115570068,12.0747,198.928,24.928,,,,,
3.6892276000976563,1.3351434469223022,1.7261582656912853e-05,0.4108628119050005,4100,,,,,,,,,
3.679083251953125,1.7697341442108154,1.7194775695627487e-05,0.4208838560978054,4200,,,,,,,,,
3.90629150390625,1.2658708095550537,1.712796873434212e-05,0.4309049002906103,4300,,,,,,,,,
3.727841491699219,1.531765341758728,1.7061161773056754e-05,0.44092594448341516,4400,,,,,,,,,
3.7206695556640623,1.610412359237671,1.6994354811771388e-05,0.4509469886762201,4500,,,,,,,,,
,,,0.4509469886762201,4500,0.829639196395874,12.0114,199.976,25.059,,,,,
3.6216485595703123,1.7792335748672485,1.692754785048602e-05,0.46096803286902494,4600,,,,,,,,,
3.6878018188476562,2.449805498123169,1.6860740889200655e-05,0.47098907706182985,4700,,,,,,,,,
3.6338040161132814,1.943677306175232,1.679393392791529e-05,0.4810101212546347,4800,,,,,,,,,
3.701288146972656,1.432371973991394,1.6727126966629926e-05,0.49103116544743963,4900,,,,,,,,,
3.6620193481445313,1.5010806322097778,1.666032000534456e-05,0.5010522096402446,5000,,,,,,,,,
,,,0.5010522096402446,5000,0.8199467062950134,12.2305,196.395,24.611,,,,,
3.5654693603515626,1.1691511869430542,1.6593513044059193e-05,0.5110732538330494,5100,,,,,,,,,
3.597471008300781,1.517378330230713,1.6526706082773827e-05,0.5210942980258543,5200,,,,,,,,,
3.6155499267578124,1.4593454599380493,1.645989912148846e-05,0.5311153422186592,5300,,,,,,,,,
3.6903167724609376,1.2534979581832886,1.6393092160203094e-05,0.5411363864114641,5400,,,,,,,,,
3.5770233154296873,1.9321740865707397,1.6326285198917728e-05,0.5511574306042689,5500,,,,,,,,,
,,,0.5511574306042689,5500,0.8111811280250549,12.1099,198.35,24.856,,,,,
3.4619561767578126,1.443467378616333,1.625947823763236e-05,0.5611784747970738,5600,,,,,,,,,
3.5590753173828125,1.5984832048416138,1.6192671276346995e-05,0.5711995189898788,5700,,,,,,,,,
3.4460888671875,1.6363519430160522,1.612586431506163e-05,0.5812205631826837,5800,,,,,,,,,
3.6039459228515627,1.4851011037826538,1.6059057353776262e-05,0.5912416073754885,5900,,,,,,,,,
3.543725891113281,1.5430471897125244,1.59922503924909e-05,0.6012626515682934,6000,,,,,,,,,
,,,0.6012626515682934,6000,0.8031450510025024,12.2983,195.311,24.475,,,,,
3.5027426147460936,1.4268518686294556,1.5925443431205533e-05,0.6112836957610983,6100,,,,,,,,,
3.5519479370117186,1.594744086265564,1.5858636469920167e-05,0.6213047399539032,6200,,,,,,,,,
3.3876687622070314,1.361993670463562,1.57918295086348e-05,0.631325784146708,6300,,,,,,,,,
3.5304776000976563,1.3478463888168335,1.5725022547349434e-05,0.641346828339513,6400,,,,,,,,,
3.584981689453125,1.5538264513015747,1.565821558606407e-05,0.6513678725323179,6500,,,,,,,,,
,,,0.6513678725323179,6500,0.7932686805725098,12.1373,197.902,24.8,,,,,
3.5815365600585936,1.517868995666504,1.5591408624778705e-05,0.6613889167251228,6600,,,,,,,,,
3.4506607055664062,1.4282467365264893,1.552460166349334e-05,0.6714099609179276,6700,,,,,,,,,
3.4457171630859373,1.6013106107711792,1.5457794702207972e-05,0.6814310051107325,6800,,,,,,,,,
3.531827087402344,1.6875708103179932,1.5390987740922606e-05,0.6914520493035374,6900,,,,,,,,,
3.4833944702148436,1.443513035774231,1.532418077963724e-05,0.7014730934963423,7000,,,,,,,,,
,,,0.7014730934963423,7000,0.7913832664489746,12.1057,198.418,24.864,,,,,
3.4458953857421877,1.162022352218628,1.5257373818351873e-05,0.7114941376891472,7100,,,,,,,,,
3.437006530761719,1.4607443809509277,1.5190566857066507e-05,0.7215151818819521,7200,,,,,,,,,
3.4982650756835936,1.3812963962554932,1.5123759895781142e-05,0.731536226074757,7300,,,,,,,,,
3.4672283935546875,1.28780198097229,1.5056952934495776e-05,0.7415572702675619,7400,,,,,,,,,
3.309390869140625,1.4895110130310059,1.4990145973210411e-05,0.7515783144603668,7500,,,,,,,,,
,,,0.7515783144603668,7500,0.783583402633667,12.1652,197.448,24.743,,,,,
3.509153137207031,1.4697253704071045,1.4923339011925045e-05,0.7615993586531716,7600,,,,,,,,,
3.3753253173828126,1.434880018234253,1.4856532050639678e-05,0.7716204028459765,7700,,,,,,,,,
3.377122802734375,1.6489498615264893,1.4789725089354312e-05,0.7816414470387815,7800,,,,,,,,,
3.377509765625,1.5482752323150635,1.4722918128068946e-05,0.7916624912315864,7900,,,,,,,,,
3.41885986328125,1.2463953495025635,1.465611116678358e-05,0.8016835354243912,8000,,,,,,,,,
,,,0.8016835354243912,8000,0.7752593755722046,12.0985,198.536,24.879,,,,,
3.4401559448242187,1.76125168800354,1.4589304205498213e-05,0.8117045796171961,8100,,,,,,,,,
3.4431805419921875,1.350216269493103,1.4522497244212848e-05,0.821725623810001,8200,,,,,,,,,
3.2796646118164063,1.7960327863693237,1.4455690282927482e-05,0.8317466680028059,8300,,,,,,,,,
3.4273861694335936,1.401902675628662,1.4388883321642116e-05,0.8417677121956108,8400,,,,,,,,,
3.4235577392578125,1.5048226118087769,1.4322076360356751e-05,0.8517887563884157,8500,,,,,,,,,
,,,0.8517887563884157,8500,0.769565224647522,12.1223,198.148,24.83,,,,,
3.4428970336914064,1.3020330667495728,1.4255269399071385e-05,0.8618098005812206,8600,,,,,,,,,
3.5048171997070314,2.510985851287842,1.4188462437786018e-05,0.8718308447740255,8700,,,,,,,,,
3.3886642456054688,1.524137020111084,1.4121655476500654e-05,0.8818518889668303,8800,,,,,,,,,
3.4383514404296873,1.2645734548568726,1.4054848515215287e-05,0.8918729331596352,8900,,,,,,,,,
3.4535977172851564,1.5193846225738525,1.3988041553929921e-05,0.9018939773524401,9000,,,,,,,,,
,,,0.9018939773524401,9000,0.7665005922317505,12.1546,197.62,24.764,,,,,
3.380751037597656,1.926789402961731,1.3921234592644555e-05,0.9119150215452451,9100,,,,,,,,,
3.132860107421875,1.6118344068527222,1.3854427631359188e-05,0.9219360657380499,9200,,,,,,,,,
3.1656649780273436,1.2988344430923462,1.3787620670073822e-05,0.9319571099308548,9300,,,,,,,,,
3.43850341796875,1.4755808115005493,1.3720813708788456e-05,0.9419781541236597,9400,,,,,,,,,
3.2999539184570312,1.2911803722381592,1.365400674750309e-05,0.9519991983164646,9500,,,,,,,,,
,,,0.9519991983164646,9500,0.7624735832214355,12.0419,199.469,24.996,,,,,
3.304331970214844,1.5113728046417236,1.3587199786217725e-05,0.9620202425092694,9600,,,,,,,,,
3.377406005859375,1.298653244972229,1.352039282493236e-05,0.9720412867020743,9700,,,,,,,,,
3.310011901855469,1.2992230653762817,1.3453585863646994e-05,0.9820623308948793,9800,,,,,,,,,
3.3121292114257814,1.5553085803985596,1.3386778902361627e-05,0.9920833750876842,9900,,,,,,,,,
3.418684997558594,1.644979476928711,1.3319971941076261e-05,1.002104419280489,10000,,,,,,,,,
,,,1.002104419280489,10000,0.7638799548149109,12.5099,192.009,24.061,,,,,
3.1333673095703123,1.4003181457519531,1.3253164979790896e-05,1.012125463473294,10100,,,,,,,,,
3.0755670166015623,1.474947214126587,1.318635801850553e-05,1.0221465076660987,10200,,,,,,,,,
3.0795465087890626,1.4762753248214722,1.3119551057220164e-05,1.0321675518589037,10300,,,,,,,,,
3.07888916015625,1.680841326713562,1.3052744095934797e-05,1.0421885960517085,10400,,,,,,,,,
3.1891107177734375,1.3886878490447998,1.2985937134649431e-05,1.0522096402445136,10500,,,,,,,,,
,,,1.0522096402445136,10500,0.7593231797218323,12.1673,197.415,24.739,,,,,
3.080035400390625,1.9079557657241821,1.2919130173364065e-05,1.0622306844373184,10600,,,,,,,,,
3.0475848388671873,1.6533534526824951,1.2852323212078698e-05,1.0722517286301232,10700,,,,,,,,,
2.9786993408203126,1.5808775424957275,1.2785516250793332e-05,1.0822727728229282,10800,,,,,,,,,
3.0702420043945313,1.118868350982666,1.2718709289507967e-05,1.092293817015733,10900,,,,,,,,,
2.9857827758789064,1.5606893301010132,1.2651902328222603e-05,1.1023148612085378,11000,,,,,,,,,
,,,1.1023148612085378,11000,0.7584144473075867,12.3697,194.184,24.334,,,,,
3.0591494750976564,1.364524245262146,1.2585095366937236e-05,1.1123359054013429,11100,,,,,,,,,
3.06869873046875,1.5565776824951172,1.251828840565187e-05,1.1223569495941477,11200,,,,,,,,,
3.213423767089844,1.4245089292526245,1.2451481444366504e-05,1.1323779937869527,11300,,,,,,,,,
3.0147055053710936,1.6744014024734497,1.2384674483081139e-05,1.1423990379797575,11400,,,,,,,,,
3.073934326171875,1.2419499158859253,1.2317867521795773e-05,1.1524200821725623,11500,,,,,,,,,
,,,1.1524200821725623,11500,0.7516694068908691,11.9684,200.695,25.149,,,,,
3.111097717285156,2.0120277404785156,1.2251060560510406e-05,1.1624411263653673,11600,,,,,,,,,
3.075511474609375,1.4531316757202148,1.218425359922504e-05,1.1724621705581721,11700,,,,,,,,,
3.031888732910156,1.7354058027267456,1.2117446637939674e-05,1.182483214750977,11800,,,,,,,,,
3.0797964477539064,1.7407596111297607,1.2050639676654307e-05,1.192504258943782,11900,,,,,,,,,
3.011368713378906,1.265297293663025,1.1983832715368941e-05,1.2025253031365868,12000,,,,,,,,,
,,,1.2025253031365868,12000,0.7515769600868225,12.378,194.054,24.317,,,,,
3.107860107421875,1.1441774368286133,1.1917025754083575e-05,1.2125463473293918,12100,,,,,,,,,
2.924272155761719,1.6084635257720947,1.1850218792798212e-05,1.2225673915221966,12200,,,,,,,,,
3.0582269287109374,1.4094901084899902,1.1783411831512845e-05,1.2325884357150014,12300,,,,,,,,,
3.019156799316406,1.4081695079803467,1.1716604870227479e-05,1.2426094799078065,12400,,,,,,,,,
3.0710873413085937,1.5231765508651733,1.1649797908942113e-05,1.2526305241006113,12500,,,,,,,,,
,,,1.2526305241006113,12500,0.7467713952064514,12.0833,198.786,24.91,,,,,
3.009180603027344,1.2129608392715454,1.1582990947656746e-05,1.2626515682934163,12600,,,,,,,,,
2.995489501953125,1.6572608947753906,1.1516183986371382e-05,1.272672612486221,12700,,,,,,,,,
3.0195172119140623,1.9835705757141113,1.1449377025086015e-05,1.282693656679026,12800,,,,,,,,,
3.0034329223632814,1.4626648426055908,1.1382570063800649e-05,1.292714700871831,12900,,,,,,,,,
2.941145935058594,1.3098214864730835,1.1315763102515283e-05,1.3027357450646357,13000,,,,,,,,,
,,,1.3027357450646357,13000,0.7467399835586548,11.9418,201.142,25.206,,,,,
3.0052252197265625,1.4300055503845215,1.1248956141229916e-05,1.3127567892574405,13100,,,,,,,,,
3.079716796875,1.2844661474227905,1.118214917994455e-05,1.3227778334502456,13200,,,,,,,,,
2.9607723999023436,1.8297371864318848,1.1115342218659184e-05,1.3327988776430504,13300,,,,,,,,,
2.9608447265625,1.2734483480453491,1.104853525737382e-05,1.3428199218358552,13400,,,,,,,,,
2.967550964355469,1.4460269212722778,1.0981728296088454e-05,1.3528409660286602,13500,,,,,,,,,
,,,1.3528409660286602,13500,0.7426470518112183,12.2287,196.424,24.614,,,,,
2.992240295410156,1.5133367776870728,1.0914921334803088e-05,1.362862010221465,13600,,,,,,,,,
3.0186102294921877,1.9319798946380615,1.0848114373517722e-05,1.3728830544142698,13700,,,,,,,,,
3.1326324462890627,1.3464707136154175,1.0781307412232355e-05,1.3829040986070749,13800,,,,,,,,,
2.968525085449219,1.374351143836975,1.0714500450946989e-05,1.3929251427998797,13900,,,,,,,,,
2.913224182128906,1.5733516216278076,1.0647693489661624e-05,1.4029461869926847,14000,,,,,,,,,
,,,1.4029461869926847,14000,0.7404384613037109,11.9789,200.519,25.127,,,,,
3.157176208496094,1.1951897144317627,1.0580886528376258e-05,1.4129672311854895,14100,,,,,,,,,
2.905460205078125,1.4426854848861694,1.0514079567090892e-05,1.4229882753782945,14200,,,,,,,,,
2.91215087890625,1.6058261394500732,1.0447272605805525e-05,1.4330093195710993,14300,,,,,,,,,
2.9055316162109377,1.6065542697906494,1.0380465644520159e-05,1.4430303637639041,14400,,,,,,,,,
2.9380938720703127,1.4880192279815674,1.0313658683234793e-05,1.4530514079567092,14500,,,,,,,,,
,,,1.4530514079567092,14500,0.7384603023529053,12.1542,197.627,24.765,,,,,
3.0769366455078124,1.7538000345230103,1.024685172194943e-05,1.463072452149514,14600,,,,,,,,,
3.06591796875,1.377420425415039,1.0180044760664063e-05,1.4730934963423188,14700,,,,,,,,,
2.9768032836914062,1.3047693967819214,1.0113237799378697e-05,1.4831145405351238,14800,,,,,,,,,
2.958323974609375,1.137485146522522,1.004643083809333e-05,1.4931355847279286,14900,,,,,,,,,
